sector,lat,lng,count,country,region_code,local_authority_code
AB1 0,57.100231,-2.258149,231,Scotland,S99999999,S12000033
AB1 1,57.149697,-2.107794,290,Scotland,S99999999,S12000033
AB1 2,57.14124,-2.100802,325,Scotland,S99999999,S12000033
AB1 3,57.135454,-2.081747,224,Scotland,S99999999,S12000033
AB1 4,57.094904,-2.102829,302,Scotland,S99999999,S12000033
AB1 5,57.116583,-2.114206,217,Scotland,S99999999,S12000033
AB1 6,57.136309,-2.123295,331,Scotland,S99999999,S12000033
AB1 7,57.127485,-2.140221,326,Scotland,S99999999,S12000033
AB1 8,57.145192,-2.195227,193,Scotland,S99999999,S12000033
AB1 9,57.11801,-2.186426,216,Scotland,S99999999,S12000033
AB10 1,57.142464,-2.106043,336,Scotland,S99999999,S12000033
AB10 6,57.134688,-2.118986,319,Scotland,S99999999,S12000033
AB10 7,57.124814,-2.130927,246,Scotland,S99999999,S12000033
AB11 3,99.999999,0.0,1,Scotland,S99999999,
AB11 5,57.142164,-2.08976,203,Scotland,S99999999,S12000033
AB11 6,57.138307,-2.103287,328,Scotland,S99999999,S12000033
AB11 7,57.132654,-2.101524,82,Scotland,S99999999,S12000033
AB11 8,57.133465,-2.081776,161,Scotland,S99999999,S12000033
AB11 9,57.13379,-2.084082,127,Scotland,S99999999,S12000033
AB12 3,57.107042,-2.089387,376,Scotland,S99999999,S12000033
AB12 4,57.0688,-2.131531,218,Scotland,S99999999,S12000034
AB12 5,57.112088,-2.129236,295,Scotland,S99999999,S12000033
AB12 9,57.123053,-2.094974,187,Scotland,S99999999,S12000033
AB13 0,57.112207,-2.241694,125,Scotland,S99999999,S12000033
AB14 0,57.103418,-2.272962,167,Scotland,S99999999,S12000033
AB15 4,57.142887,-2.137499,167,Scotland,S99999999,S12000033
AB15 5,57.149125,-2.13601,128,Scotland,S99999999,S12000033
AB15 6,57.147902,-2.162144,221,Scotland,S99999999,S12000033
AB15 7,57.132218,-2.148248,175,Scotland,S99999999,S12000033
AB15 8,57.144881,-2.195551,341,Scotland,S99999999,S12000033
AB15 9,57.120413,-2.18366,281,Scotland,S99999999,S12000033
AB16 5,57.159404,-2.148586,282,Scotland,S99999999,S12000033
AB16 6,57.154445,-2.167235,219,Scotland,S99999999,S12000033
AB16 7,57.167204,-2.157772,269,Scotland,S99999999,S12000033
AB16 9,57.153201,-2.154442,171,Scotland,S99999999,S12000033
AB2 0,57.225478,-2.211467,355,Scotland,S99999999,S12000033
AB2 1,57.157862,-2.090484,295,Scotland,S99999999,S12000033
AB2 2,57.169665,-2.126103,313,Scotland,S99999999,S12000033
AB2 3,57.159075,-2.107175,302,Scotland,S99999999,S12000033
AB2 4,57.148814,-2.124933,337,Scotland,S99999999,S12000033
AB2 5,57.159885,-2.145625,302,Scotland,S99999999,S12000033
AB2 6,57.151207,-2.163274,347,Scotland,S99999999,S12000033
AB2 7,57.16757,-2.158825,217,Scotland,S99999999,S12000033
AB2 8,57.186681,-2.10999,366,Scotland,S99999999,S12000033
AB2 9,57.179666,-2.18398,236,Scotland,S99999999,S12000033
AB21 0,57.232296,-2.228102,368,Scotland,S99999999,S12000034
AB21 1,57.199791,-2.190892,24,Scotland,S99999999,S12000033
AB21 7,57.209283,-2.183027,218,Scotland,S99999999,S12000033
AB21 9,57.180869,-2.182166,377,Scotland,S99999999,S12000033
